claim,evidence,id,label,verifiable
There was a battle in Cyprus.,"[[[50225, None, None, None]]]",34088,NOT ENOUGH INFO,NOT VERIFIABLE
Parkinson's disease has afflicted Davis Phinney.,"[[[62650, 73314, ""Parkinson's_disease"", 34]]]",46309,SUPPORTS,VERIFIABLE
A dynamic web page can be driven by server-side scripting.,"[[[237126, None, None, None]]]",201462,NOT ENOUGH INFO,NOT VERIFIABLE
Moscovium is an element.,"[[[21069, 25866, 'Moscovium', 0]], [[21069, 25867, 'Moscovium', 2]], [[21069, 25868, 'Moscovium', 6]], [[21069, 25869, 'Moscovium', 7]]]",4717,SUPPORTS,VERIFIABLE
Amancio Ortega was born in 1936.,"[[[97326, 110503, 'Amancio_Ortega', 0]]]",80335,SUPPORTS,VERIFIABLE
Warren Beatty co-wrote television advertisements.,"[[[65901, None, None, None]]]",49582,NOT ENOUGH INFO,NOT VERIFIABLE
GLOW (TV series) is incapable of being released.,"[[[249034, 249057, 'GLOW_-LRB-TV_series-RRB-', 3]]]",210206,SUPPORTS,VERIFIABLE
Benjamin Walker (actor) has stage fright and as a result avoided ever becoming a comic.,"[[[186561, 198351, 'Benjamin_Walker_-LRB-actor-RRB-', 0]]]",162046,REFUTES,VERIFIABLE
David Lloyd George was voted the second greatest British prime minister of the 20th century.,"[[[269091, 265506, 'David_Lloyd_George', 20]]]",225749,REFUTES,VERIFIABLE
Donna Noble is unfamiliar with the Doctor Who franchise.,"[[[293707, 286143, 'Donna_Noble', 0]], [[338035, 323328, 'Donna_Noble', 0]], [[338036, 323329, 'Donna_Noble', 0]], [[338036, 323330, 'Donna_Noble', 1], [338036, 323330, 'Tenth_Doctor', 0], [338036, 323330, 'Tenth_Doctor', 1]]]",140299,REFUTES,VERIFIABLE
Jack Dylan Grazer has spent the entirety of his life in Florida.,"[[[89304, 102000, 'Jack_Dylan_Grazer', 0]]]",72593,REFUTES,VERIFIABLE
The Tharsis region is nowhere close to Mars.,"[[[58372, None, None, None]]]",42096,NOT ENOUGH INFO,NOT VERIFIABLE
Baloch persons are an Iranic group of humans.,"[[[22428, 27637, 'Baloch_people', 3]]]",5747,SUPPORTS,VERIFIABLE
Nina Jacobson was born in 1965.,"[[[212517, 220024, 'Nina_Jacobson', 0]], [[212518, 220025, 'Nina_Jacobson', 0]], [[212521, 220027, 'Nina_Jacobson', 0]]]",182675,SUPPORTS,VERIFIABLE
I (film) was dubbed into Italian.,"[[[97317, None, None, None]]]",80313,NOT ENOUGH INFO,NOT VERIFIABLE
"In 2012, Simi Valley, California reported that its median household income dropped below the national average for the first time in a decade.","[[[213496, 220730, 'Simi_Valley,_California', 13]]]",183423,REFUTES,VERIFIABLE
Doxycycline may induce diarrhea.,"[[[107217, 120606, 'Doxycycline', 6]], [[107220, 120609, 'Doxycycline', 6]]]",89908,SUPPORTS,VERIFIABLE
The Big Country is a novel.,"[[[69599, 80419, 'The_Big_Country', 0]], [[69599, 80420, 'The_Big_Country', 1]], [[69599, 80421, 'The_Big_Country', 5]]]",53319,REFUTES,VERIFIABLE
Vic Mensa has been nominated for a Grammy Award.,"[[[208778, 216764, 'Vic_Mensa', 0]]]",179817,SUPPORTS,VERIFIABLE
Moesia included most of the territory of modern-day Western Serbia.,"[[[200696, 210156, 'Moesia', 1]]]",173670,REFUTES,VERIFIABLE
Eka Kapoor produced 6 television series.,"[[[181244, None, None, None]]]",157124,NOT ENOUGH INFO,NOT VERIFIABLE
Anneliese van der Pol is a director.,"[[[122427, None, None, None]]]",104164,NOT ENOUGH INFO,NOT VERIFIABLE
The Mormon population has increased significantly in recent decades.,"[[[102744, 116052, 'Mormons', 24]]]",85571,SUPPORTS,VERIFIABLE
Brown University's main campus is located in the city in Rhode Island with the highest population.,"[[[147201, 162191, 'Brown_University', 0], [147201, 162191, 'Providence,_Rhode_Island', 0]], [[147201, 162192, 'Brown_University', 19], [147201, 162192, 'Providence,_Rhode_Island', 0]]]",123375,SUPPORTS,VERIFIABLE
Hammer Film Productions produced the horror movie The Quiet Ones.,"[[[195197, 205513, 'Hammer_Film_Productions', 17]]]",169327,SUPPORTS,VERIFIABLE
Gory Guerrero was a wrestler.,"[[[251536, 251370, 'Gory_Guerrero', 0]], [[251537, 251371, 'Gory_Guerrero', 0]], [[251537, 251372, 'Gory_Guerrero', 1]], [[251537, 251373, 'Gory_Guerrero', 2]], [[251538, 251374, 'Gory_Guerrero', 0]], [[251538, 251375, 'Gory_Guerrero', 1]], [[251538, 251376, 'Gory_Guerrero', 2]]]",212212,SUPPORTS,VERIFIABLE
It is customary to wear outfits while Trick-or-Treating.,"[[[206287, 214677, 'Trick-or-treating', 10]]]",177970,SUPPORTS,VERIFIABLE
Gotham City Sirens was published by Paul Dini.,"[[[214116, 221202, 'Gotham_City_Sirens', 0]]]",183938,REFUTES,VERIFIABLE
Therasia is a recipe.,"[[[89431, 102126, 'Therasia', 0]], [[89431, 102127, 'Therasia', 1]], [[89431, 102128, 'Therasia', 2]], [[89431, 102129, 'Therasia', 5]], [[89431, 102130, 'Therasia', 6]], [[91196, 103903, 'Therasia', 0]], [[91196, 103904, 'Therasia', 1]], [[91196, 103905, 'Therasia', 2]], [[91196, 103906, 'Therasia', 5]], [[91196, 103907, 'Therasia', 6]], [[91196, 103908, 'Therasia', 9]], [[93630, 106573, 'Therasia', 0]], [[93630, 106574, 'Therasia', 2]], [[93630, 106575, 'Therasia', 5]], [[307530, 298014, 'Therasia', 0]]]",31105,REFUTES,VERIFIABLE
Caleb McLaughlin was named in the year 2001.,"[[[272077, None, None, None]]]",228079,NOT ENOUGH INFO,NOT VERIFIABLE
Issa Rae shows various media created by people of color.,"[[[140849, 155986, 'Issa_Rae', 2]]]",119857,SUPPORTS,VERIFIABLE
Punch-Drunk Love was distributed by Columbia Pictures.,"[[[244761, 245685, 'Punch-Drunk_Love', 4]]]",206997,SUPPORTS,VERIFIABLE
The Fame sold 4.7 million digital copies through the Apple store.,"[[[94803, None, None, None]]]",77861,NOT ENOUGH INFO,NOT VERIFIABLE
John DiMaggio has had roles on eighteen shows from Cartoon Network.,"[[[181813, None, None, None]]]",157602,NOT ENOUGH INFO,NOT VERIFIABLE
Chris Benoit died in June 2001.,"[[[32787, 39864, 'Chris_Benoit', 0]], [[32787, 39865, 'Chris_Benoit', 14]]]",17334,REFUTES,VERIFIABLE
Cleopatre debuted after a death..,"[[[29155, 35568, 'Cléopâtre', 1]]]",13885,SUPPORTS,VERIFIABLE
"Heroes had a pilot, but the show was dropped before a full season could be produced.","[[[115234, None, None, None]]]",97621,NOT ENOUGH INFO,NOT VERIFIABLE
The Selma and Montgomery marches were part of a broader voting rights movement throughout American letters.,"[[[66451, None, None, None]]]",50137,NOT ENOUGH INFO,NOT VERIFIABLE
Younger did not premier in 2015.,"[[[99259, 112394, 'Younger_-LRB-TV_series-RRB-', 2]]]",82208,REFUTES,VERIFIABLE
ASAP Rocky has directed videos for his own music.,"[[[163746, 177992, 'ASAP_Rocky', 18]]]",140762,SUPPORTS,VERIFIABLE
Ghost stars Patrick Stewart and Kristen Stewart.,"[[[63172, None, None, None]]]",46858,NOT ENOUGH INFO,NOT VERIFIABLE
Alan White was a father to Bolivia.,"[[[222824, None, None, None]]]",190655,NOT ENOUGH INFO,NOT VERIFIABLE
"Lorelai Gilmore's mother is Emily, played by Betty White.","[[[91323, 104036, 'Lorelai_Gilmore', 3]], [[91326, 104038, 'Lorelai_Gilmore', 3]]]",74544,REFUTES,VERIFIABLE
William Howard Taft declined offers of appointment to a United States court in 1555.,"[[[229675, 233562, 'William_Howard_Taft', 0]], [[229675, 233563, 'William_Howard_Taft', 5]]]",195491,REFUTES,VERIFIABLE
The Cyclades are southeast of mainland China.,"[[[114483, 128245, 'Cyclades', 0]], [[114483, 128246, 'Cyclades', 1]]]",96910,REFUTES,VERIFIABLE
Shut Up debuted at number 33.,"[[[136373, 151180, 'Shut_Up_-LRB-Stormzy_song-RRB-', 6]]]",114984,REFUTES,VERIFIABLE
Birmingham is a suburban borough.,"[[[70101, 80991, 'Birmingham', 0]]]",53795,REFUTES,VERIFIABLE
The Vandals moved around Eurasia.,"[[[30602, None, None, None]]]",14671,NOT ENOUGH INFO,NOT VERIFIABLE
Fuller House (TV series) is in a genre.,"[[[103536, 116953, 'Fuller_House_-LRB-TV_series-RRB-', 0]]]",86387,SUPPORTS,VERIFIABLE
Pocahontas was not the daughter of Powhatan.,"[[[282693, 276833, 'Pocahontas', 1]], [[284624, 278396, 'Pocahontas', 1]], [[284627, 278397, 'Pocahontas', 1]], [[330862, 317385, 'Pocahontas', 1]], [[330863, 317386, 'Pocahontas', 1]], [[330868, 317389, 'Pocahontas', 1]]]",117126,REFUTES,VERIFIABLE
Shannon Lee is a fighter trained in defense.,"[[[133856, None, None, None]]]",113961,NOT ENOUGH INFO,NOT VERIFIABLE
"Matt Bomer was born on October 11, 1957.","[[[34958, 42373, 'Matt_Bomer', 0]]]",19184,REFUTES,VERIFIABLE
Sands Hotel and Casino was originally a casino with 200 rooms.,"[[[141816, 157064, 'Sands_Hotel_and_Casino', 6]]]",120781,REFUTES,VERIFIABLE
Sejong the Great passed away in 1450.,"[[[270485, 266516, 'Sejong_the_Great', 0]]]",226845,SUPPORTS,VERIFIABLE
Timur styled himself as anything but a ghazi.,"[[[257586, 256573, 'Timur', 21]]]",216795,REFUTES,VERIFIABLE
Azithromycin is sold worldwide.,"[[[40394, 48593, 'Azithromycin', 17]]]",24454,SUPPORTS,VERIFIABLE
Barbarella was directed by George Lucas.,"[[[41063, 49383, 'Barbarella_-LRB-film-RRB-', 0]]]",25115,REFUTES,VERIFIABLE
Pink is a city.,"[[[75621, 86867, 'Pink_-LRB-singer-RRB-', 0]]]",59221,REFUTES,VERIFIABLE
Pocahontas was Australian.,"[[[45480, 54301, 'Pocahontas', 0]]]",29290,REFUTES,VERIFIABLE
Great white sharks have bought people.,"[[[64996, None, None, None]]]",48634,NOT ENOUGH INFO,NOT VERIFIABLE
Richard Dawson was born November 20th 1932.,"[[[60766, 71249, 'Richard_Dawson', 0]]]",44380,SUPPORTS,VERIFIABLE
Catherine Hardwicke is American.,"[[[233416, 236344, 'Catherine_Hardwicke', 0]]]",198534,SUPPORTS,VERIFIABLE
The Brat Pack is a nickname given to a group of young actors who appeared together in films during the 1980s.,"[[[196117, 206262, 'Brat_Pack_-LRB-actors-RRB-', 0]]]",170015,SUPPORTS,VERIFIABLE
FC Bayern Munich was founded in 1900.,"[[[265861, 263001, 'FC_Bayern_Munich', 4]]]",223201,SUPPORTS,VERIFIABLE
Dawood Ibrahim was birthed in 1955.,"[[[207393, 215677, 'Dawood_Ibrahim', 0]], [[207394, 215678, 'Dawood_Ibrahim', 0]]]",178874,SUPPORTS,VERIFIABLE
Peru was a member of the Group of 15.,"[[[263072, 260861, 'Group_of_15', 4]], [[263074, 260862, 'Group_of_15', 4]], [[263075, 260863, 'Group_of_15', 4]]]",220974,SUPPORTS,VERIFIABLE
Morgan Fairchild refuses soap opera roles.,"[[[72523, 83563, 'Morgan_Fairchild', 4]], [[72523, 83564, 'Morgan_Fairchild', 5]]]",56162,REFUTES,VERIFIABLE
Alberto Contador was stripped of his wins.,"[[[21986, 26995, 'Alberto_Contador', 3]], [[21986, 26996, 'Alberto_Contador', 16]]]",5560,SUPPORTS,VERIFIABLE
The Catcher in the Rye is not a novel.,"[[[50525, 60087, 'The_Catcher_in_the_Rye', 0]]]",34385,REFUTES,VERIFIABLE
Georgians arose from a place that was dependent on great literature.,"[[[41574, None, None, None]]]",25587,NOT ENOUGH INFO,NOT VERIFIABLE
The Burj Khalifa contains 57 cats.,"[[[87826, None, None, None]]]",71166,NOT ENOUGH INFO,NOT VERIFIABLE
Samsung has developed and sold phones.,"[[[143633, None, None, None]]]",122281,NOT ENOUGH INFO,NOT VERIFIABLE
"Manchester United's home stadium is located on Sir Matt Busby Way in Old Trafford, Greater Manchester, England.","[[[164239, None, None, None]]]",141205,NOT ENOUGH INFO,NOT VERIFIABLE
The Tenth Doctor is on the show through season 6.,"[[[124616, None, None, None]]]",106159,NOT ENOUGH INFO,NOT VERIFIABLE
Annie Lenox has listened to six solo studio albums.,"[[[195528, None, None, None], [195530, None, None, None]]]",169573,NOT ENOUGH INFO,NOT VERIFIABLE
Innovation is often also ignored as the application of better solutions that meet existing market needs.,"[[[257971, 256880, 'Innovation', 1]]]",217115,REFUTES,VERIFIABLE
Superhuman abilities may result from human enhancement by genetic modification using CRISPR technology.,"[[[161365, None, None, None]]]",138569,NOT ENOUGH INFO,NOT VERIFIABLE
Toy Story 2 was released by Walt Disney Pictures worldwide in 1999.,"[[[132535, 147441, 'Toy_Story_2', 16]], [[132535, 147442, 'Toy_Story_2', 0]]]",112981,SUPPORTS,VERIFIABLE
Quay premiered at a movie theater.,"[[[65907, 76775, 'Quay_-LRB-film-RRB-', 1], [65907, 76775, 'Film_Forum', 0]]]",49593,SUPPORTS,VERIFIABLE
Younger is a town.,"[[[21700, 26668, 'Younger_-LRB-TV_series-RRB-', 0]]]",5314,REFUTES,VERIFIABLE
There was a party in Cyprus.,"[[[284840, None, None, None], [285576, None, None, None], [331355, None, None, None]]]",118875,NOT ENOUGH INFO,NOT VERIFIABLE
"The Greek word for ""rule of the best"" is the origin of aristocracy.","[[[262097, 260150, 'Aristocracy', 1]]]",220237,SUPPORTS,VERIFIABLE
Mutiny on the Bounty is based on a book.,"[[[67776, 78621, 'Mutiny_on_the_Bounty_-LRB-1962_film-RRB-', 0]]]",51425,SUPPORTS,VERIFIABLE
The Premier League Asia Trophy is a social event.,"[[[51932, 61780, 'Premier_League_Asia_Trophy', 0]], [[51932, 61781, 'Premier_League_Asia_Trophy', 1]]]",35752,REFUTES,VERIFIABLE
An Education was created by a journalist.,"[[[201009, 210463, 'An_Education', 0]]]",173929,SUPPORTS,VERIFIABLE
Ronaldinho has taken part in 97 games.,"[[[147264, 162261, 'Ronaldinho', 10]]]",125550,SUPPORTS,VERIFIABLE
"Dan Brown was born June 22, 1961.","[[[218849, 225034, 'Dan_Brown', 0]]]",187566,REFUTES,VERIFIABLE
Sarah Hyland is from Idaho.,"[[[64394, 75157, 'Sarah_Hyland', 1]]]",48028,REFUTES,VERIFIABLE
The Quiet stars Elisha Cuthbert and Barack Obama.,"[[[146232, None, None, None]]]",124654,NOT ENOUGH INFO,NOT VERIFIABLE
"On October 25, 2007, The Airbus A380 entered commercial service.","[[[283075, 277183, 'Airbus_A380', 3]], [[283076, 277184, 'Airbus_A380', 3]], [[283077, 277185, 'Airbus_A380', 3]], [[331574, 318068, 'Airbus_A380', 3]], [[332289, 318687, 'Airbus_A380', 3]]]",119989,SUPPORTS,VERIFIABLE
House of Balloons is by a Japanese singer.,"[[[34843, 42257, 'House_of_Balloons', 0]]]",19074,REFUTES,VERIFIABLE
Kung Fu Panda made many people angry during its opening weekend.,"[[[73541, None, None, None]]]",57209,NOT ENOUGH INFO,NOT VERIFIABLE
Heath Ledger was in I'm Not There.,"[[[13861, None, None, None], [13912, None, None, None]]]",8552,NOT ENOUGH INFO,NOT VERIFIABLE
Benjamin Franklin rarely was a spokesman.,"[[[316457, None, None, None]]]",66811,NOT ENOUGH INFO,NOT VERIFIABLE
Jed Whedon is the son of someone born in a library.,"[[[106878, None, None, None]]]",89637,NOT ENOUGH INFO,NOT VERIFIABLE
Adobe Photoshop is a public company.,"[[[17990, None, None, None]]]",2171,NOT ENOUGH INFO,NOT VERIFIABLE
Liberal Socialists were the only people to form The Blue Dog Coalition.,"[[[16072, 19941, 'Blue_Dog_Coalition', 0]]]",637,REFUTES,VERIFIABLE
The Danish language is spoken only outside of Canada.,"[[[96086, 109143, 'Danish_language', 1]]]",79146,REFUTES,VERIFIABLE
"South Island is sometimes referred to as the ""mainland"" of Australia.","[[[30899, 37541, 'South_Island', 5]]]",15483,REFUTES,VERIFIABLE
Konidela Production Company is Indian and it is successful.,"[[[170299, None, None, None]]]",146754,NOT ENOUGH INFO,NOT VERIFIABLE
Mad Max: Fury Road was released in 2010.,"[[[74492, 85728, 'Mad_Max-COLON-_Fury_Road', 0]]]",58140,REFUTES,VERIFIABLE
Ricardo Montalbán died in 1920.,"[[[51395, 61117, 'Ricardo_Montalbán', 0]], [[51395, 61118, 'Ricardo_Montalbán', 4]], [[51395, 61119, 'Ricardo_Montalbán', 5]], [[51395, 61120, 'Ricardo_Montalbán', 7]]]",35219,REFUTES,VERIFIABLE
Oscar Isaac acted as the supervillain Apocalypse in the liveaction movie adaptation.,"[[[103360, None, None, None]]]",86198,NOT ENOUGH INFO,NOT VERIFIABLE
Pink is an American dancer.,"[[[37819, 45746, 'Pink_-LRB-singer-RRB-', 0]]]",143048,SUPPORTS,VERIFIABLE
David Attenborough is a former senior manager at Disney.,"[[[49665, None, None, None]]]",33568,NOT ENOUGH INFO,NOT VERIFIABLE
"On August 18th, 2009, The Last Song (film) ended filming.","[[[176747, 189677, 'The_Last_Song_-LRB-film-RRB-', 9]]]",152802,SUPPORTS,VERIFIABLE
A dynamic web page is driven by server-side scripting or assembly language editing.,"[[[237133, None, None, None]]]",201468,NOT ENOUGH INFO,NOT VERIFIABLE
"SZA's music combines beats from soul, hip hop, and R&B.","[[[87201, 99714, 'SZA_-LRB-singer-RRB-', 6]]]",70536,SUPPORTS,VERIFIABLE
Clueless (film) was followed by books.,"[[[61899, 72384, 'Clueless_-LRB-film-RRB-', 7]]]",45566,SUPPORTS,VERIFIABLE
"The Siege of Fort Stanwix ended on August 22, 1777.","[[[124588, 138923, 'Siege_of_Fort_Stanwix', 0]]]",106132,SUPPORTS,VERIFIABLE
Anna Nicole Smith refused to work for any fashion companies.,"[[[68557, 79415, 'Anna_Nicole_Smith', 2]]]",52243,REFUTES,VERIFIABLE
Guns N' Roses started in 1995.,"[[[87019, 99506, ""Guns_N'_Roses"", 0]]]",70359,REFUTES,VERIFIABLE
"Wolfgang Amadeus Mozart was married to a woman named Constanze, who survived him.","[[[171891, 185349, 'Wolfgang_Amadeus_Mozart', 12]]]",148255,SUPPORTS,VERIFIABLE
Azithromycin is available as a generic medication for infections.,"[[[85108, 97377, 'Azithromycin', 17], [85108, 97377, 'Azithromycin', 2], [85108, 97377, 'Azithromycin', 0], [85108, 97377, 'Azithromycin', 1]]]",66585,SUPPORTS,VERIFIABLE
"Phoenix, Arizona is the most populous country.","[[[50217, 59764, 'Phoenix,_Arizona', 0]], [[50217, 59765, 'Phoenix,_Arizona', 1]], [[50217, 59766, 'Phoenix,_Arizona', 6]], [[50217, 59767, 'Phoenix,_Arizona', 15]]]",34105,REFUTES,VERIFIABLE
You Only Live Twice was directed by a man.,"[[[215790, None, None, None]]]",185183,NOT ENOUGH INFO,NOT VERIFIABLE
"Ann Biderman died on August 15th, 1950.","[[[196232, 206371, 'Ann_Biderman', 0]]]",170114,REFUTES,VERIFIABLE
Gray Matters is a TV show.,"[[[70459, 81327, 'Gray_Matters', 0]]]",54151,REFUTES,VERIFIABLE
The Monster is a restaurant.,"[[[247310, 247618, 'The_Monster_-LRB-song-RRB-', 0]], [[247318, 247629, 'The_Monster_-LRB-song-RRB-', 0]], [[247318, 247630, 'The_Monster_-LRB-song-RRB-', 1]], [[247318, 247631, 'The_Monster_-LRB-song-RRB-', 3]], [[247318, 247632, 'The_Monster_-LRB-song-RRB-', 4]], [[247318, 247633, 'The_Monster_-LRB-song-RRB-', 7]], [[247318, 247634, 'The_Monster_-LRB-song-RRB-', 8]], [[247318, 247635, 'The_Monster_-LRB-song-RRB-', 9]], [[247318, 247636, 'The_Monster_-LRB-song-RRB-', 12]], [[247318, 247637, 'The_Monster_-LRB-song-RRB-', 14]]]",208927,REFUTES,VERIFIABLE
Apple Inc. marketed the IPhone 4.,"[[[122972, 137235, 'IPhone_4', 0]]]",104677,SUPPORTS,VERIFIABLE
Fringe aired in 2008.,"[[[197931, 207857, 'Fringe_-LRB-TV_series-RRB-', 1]]]",171519,SUPPORTS,VERIFIABLE
The House of the Spirits is about the life of a young lady named Clara during the military dictatorship in Algeria.,"[[[168335, 182082, 'The_House_of_the_Spirits_-LRB-film-RRB-', 4]]]",145041,REFUTES,VERIFIABLE
B. R. Ambedkar did not win any awards.,"[[[177054, 189987, 'B._R._Ambedkar', 10]]]",153101,REFUTES,VERIFIABLE
UNICEF UK is a National Committee.,"[[[266476, 263456, 'UNICEF_UK', 0]]]",223678,SUPPORTS,VERIFIABLE
You Only Live Twice was directed by a Catholic man.,"[[[215785, None, None, None]]]",185181,NOT ENOUGH INFO,NOT VERIFIABLE
Food Network is available in the United States.,"[[[293033, 285668, 'Food_Network', 0]], [[293036, 285671, 'Food_Network', 8]], [[295631, 287698, 'Food_Network', 8]], [[341268, 325744, 'Food_Network', 8]], [[341270, 325748, 'Food_Network', 8]]]",152730,SUPPORTS,VERIFIABLE
Google Search can return etymology and synonyms.,"[[[101339, None, None, None]]]",84292,NOT ENOUGH INFO,NOT VERIFIABLE
George III of the United Kingdom did not experience the defeat of France.,"[[[104570, 117985, 'George_III_of_the_United_Kingdom', 6]]]",87383,SUPPORTS,VERIFIABLE
Alvin and the Chipmunks was directed in America.,"[[[151576, 166327, 'Alvin_and_the_Chipmunks_-LRB-film-RRB-', 0]], [[151577, 166328, 'Alvin_and_the_Chipmunks_-LRB-film-RRB-', 0]]]",127166,SUPPORTS,VERIFIABLE
Cate Blanchett starred in the film The Good German.,"[[[207748, 215959, 'The_Good_German', 1], [207748, 215959, 'The_Good_German', 0]]]",179088,SUPPORTS,VERIFIABLE
Trouble with the Curve stars Clint Eastwood and Seth Rogen.,"[[[166567, None, None, None]]]",143420,NOT ENOUGH INFO,NOT VERIFIABLE
Victor Frankenstein is a 2015 American film.,"[[[91586, 104343, 'Victor_Frankenstein_-LRB-film-RRB-', 0]]]",74789,SUPPORTS,VERIFIABLE
Milk is based on the life of John McCain.,"[[[206117, 214566, 'Milk_-LRB-film-RRB-', 0]], [[206119, 214568, 'Milk_-LRB-film-RRB-', 0]]]",177835,REFUTES,VERIFIABLE
Warren Beatty co-wrote Reds.,"[[[293532, 286037, 'Warren_Beatty', 2]], [[297406, 289064, 'Warren_Beatty', 2]], [[341783, 326077, 'Warren_Beatty', 2]], [[341784, 326078, 'Warren_Beatty', 2]]]",154383,SUPPORTS,VERIFIABLE
Westworld's first season features Kevin Spacey.,"[[[192332, None, None, None], [192335, None, None, None]]]",167176,NOT ENOUGH INFO,NOT VERIFIABLE
Therasia is based on the volcanic island group of Santorini.,"[[[303482, 294447, 'Therasia', 0]], [[305337, 296171, 'Therasia', 0]]]",22609,SUPPORTS,VERIFIABLE
Pakistan has the 42nd largest economy in nominal gross domestic product.,"[[[287181, 280649, 'Pakistan', 22]], [[289231, 282337, 'Pakistan', 22]], [[290864, 283822, 'Pakistan', 22]], [[335283, 321129, 'Pakistan', 22]], [[335326, 321154, 'Pakistan', 22]]]",132025,REFUTES,VERIFIABLE
Sherilyn Fenn won an award for starring in Boxing Helena.,"[[[180351, None, None, None]]]",156297,NOT ENOUGH INFO,NOT VERIFIABLE
Punch-Drunk Love features zero video art.,"[[[244775, 245695, 'Punch-Drunk_Love', 4]]]",207009,REFUTES,VERIFIABLE
"William Cohen is from Bangor, Maine.","[[[220661, 226475, 'William_Cohen', 0]], [[220662, 226476, 'William_Cohen', 0]]]",188994,REFUTES,VERIFIABLE
"Dissociative identity disorder, or DID, may result from disruptions in memory caused by psychological trauma.","[[[118381, 132211, 'Dissociative_identity_disorder', 7]]]",98448,SUPPORTS,VERIFIABLE
Samsung entered the ectronics industries in the 1970's.,"[[[80055, None, None, None]]]",63621,NOT ENOUGH INFO,NOT VERIFIABLE
Fuller House (TV series) airs in America.,"[[[63799, None, None, None]]]",47478,NOT ENOUGH INFO,NOT VERIFIABLE
The Little Prince (2015 film) is a film.,"[[[242315, 243716, 'The_Little_Prince_-LRB-2015_film-RRB-', 0]], [[242315, 243717, 'The_Little_Prince_-LRB-2015_film-RRB-', 5]], [[242315, 243718, 'The_Little_Prince_-LRB-2015_film-RRB-', 2]], [[242315, 243719, 'The_Little_Prince_-LRB-2015_film-RRB-', 9]], [[242315, 243720, 'The_Little_Prince_-LRB-2015_film-RRB-', 12]]]",205079,SUPPORTS,VERIFIABLE
Designated Survivor (TV series) is a television show.,"[[[229086, 233144, 'Designated_Survivor_-LRB-TV_series-RRB-', 0]], [[231581, 235041, 'Designated_Survivor_-LRB-TV_series-RRB-', 0]], [[232954, 235999, 'Designated_Survivor_-LRB-TV_series-RRB-', 0]], [[318458, 307382, 'Designated_Survivor_-LRB-TV_series-RRB-', 0]], [[319986, 308698, 'Designated_Survivor_-LRB-TV_series-RRB-', 0]]]",72143,SUPPORTS,VERIFIABLE
Pythagoras is unassociated with Pythagoras' ideas.,"[[[205702, 214195, 'Pythagoras', 7]]]",177489,REFUTES,VERIFIABLE
A Writers Guild Award was nominated to Key & Peele.,"[[[181807, 194073, 'Key_&_Peele', 10]]]",157589,SUPPORTS,VERIFIABLE
Hebe was unacquainted with any gods or goddesses.,"[[[92877, 105728, 'Hebe_-LRB-mythology-RRB-', 1], [92877, 105728, 'Hera', 0]], [[92877, 105729, 'Hebe_-LRB-mythology-RRB-', 2]], [[92877, 105730, 'Hebe_-LRB-mythology-RRB-', 4], [92877, 105730, 'Ares', 0]]]",76050,REFUTES,VERIFIABLE
The 2003 NCAA Division I Men's Basketball Tournament was a knockout.,"[[[302147, None, None, None], [303909, None, None, None]]]",8484,NOT ENOUGH INFO,NOT VERIFIABLE
Corsica is at war with France.,"[[[261371, None, None, None]]]",219695,NOT ENOUGH INFO,NOT VERIFIABLE
Balibo (film) takes place in a sovereign state in Maritime Southeast Asia called East Timor.,"[[[36105, 43633, 'Balibo_-LRB-film-RRB-', 0], [36105, 43633, 'East_Timor', 0]]]",20288,SUPPORTS,VERIFIABLE
Numenius of Apamea was a Eleatic philosopher.,"[[[220512, None, None, None]]]",188882,NOT ENOUGH INFO,NOT VERIFIABLE
Ragtime has an all-white cast.,"[[[15669, None, None, None]]]",306,NOT ENOUGH INFO,NOT VERIFIABLE
The Office (US) is the highest grossing show when released.,"[[[243495, 244705, 'The_Office_-LRB-U.S._TV_series-RRB-', 13]]]",206023,REFUTES,VERIFIABLE
Stomp the Yard stars an American actor whose career began in 1982.,"[[[165947, None, None, None], [166342, None, None, None], [312199, None, None, None], [312202, None, None, None]]]",52510,NOT ENOUGH INFO,NOT VERIFIABLE
Legendary Entertainment and Wanda Cinemas are owned by the same entity.,"[[[26465, 32499, 'Legendary_Entertainment', 2], [26465, 32499, 'Wanda_Group', 0]]]",11269,SUPPORTS,VERIFIABLE
Superhuman abilities may result from human enhancement by nanotechnology.,"[[[76449, 87741, 'Superhuman', 6]]]",60038,SUPPORTS,VERIFIABLE
Vedic Sanskrit is a language.,"[[[265319, 262541, 'Vedic_Sanskrit', 0]]]",222724,SUPPORTS,VERIFIABLE
Bob Ross was an artist.,"[[[269541, 265843, 'Bob_Ross', 0]], [[272637, 268292, 'Bob_Ross', 0]], [[273921, 269243, 'Bob_Ross', 0]], [[322019, 310361, 'Bob_Ross', 0]], [[322019, 310362, 'Bob_Ross', 1], [322019, 310362, 'The_Joy_of_Painting', 0]], [[322020, 310363, 'Bob_Ross', 0]], [[322022, 310364, 'Bob_Ross', 0]]]",84807,SUPPORTS,VERIFIABLE
Akon has had more than ten songs certified as silver.,"[[[239466, None, None, None], [239467, None, None, None]]]",203068,NOT ENOUGH INFO,NOT VERIFIABLE
Sweet Home Alabama is a lyric poem that was written in reply to Neil Young's song Southern Man.,"[[[235013, 237771, 'Sweet_Home_Alabama', 0]], [[235013, 237772, 'Sweet_Home_Alabama', 3]]]",199817,REFUTES,VERIFIABLE
