rotten_tomatoes_link,movie_title,movie_info,genre,runtime,original_release_date,is_drama,is_comedy,before_2000,over_2h,originalLanguage,written_in_german
m/passage_to_india,A Passage to India,"Based on the renowned E.M. Forster novel, this expansive period drama centers on the changing dynamic between British colonials and native locals in India during the 1920s. When an outing to explore scenic caves ends in English tourist Adela Quested (Judy Davis) accusing Indian doctor Aziz Ahmed (Victor Banerjee) of rape, the incident results in a major court case, one that reinforces tensions between the British Empire and the growing movement towards Indian independence.",Drama,163.0,1984-12-14,True,False,True,True,English,False
m/passion_of_the_christ,The Passion of the Christ,"In this version of Christ's crucifixion, based on the New Testament, Judas expedites the downfall of Jesus (Jim Caviezel) by handing him over to the Roman Empire's handpicked officials. To the horror of his mother, Mary (Maia Morgenstern), Magdalen (Monica Bellucci), whom he saved from damnation, and his disciples, Jesus is condemned to death. He is tortured as he drags a crucifix to nearby Calvary, where he is nailed to the cross. He dies, but not before a last act of grace.",Drama,126.0,2004-02-25,True,False,False,True,Aramaic,False
m/places_in_the_heart,Places in the Heart,"In 1935 rural Texas, recently widowed Edna Spaulding (Sally Field) struggles to survive with two small children, a farm to run and very little money in the bank -- not to mention a deadly tornado and the unwelcome presence of the Ku Klux Klan. Edna is aided by her beautician sister, Margaret (Lindsay Crouse) ; a blind boarder, Mr. Will (John Malkovich) ; and a would-be thief, Moze (Danny Glover), who decides to stick around to teach Edna how to plant and harvest cotton.",Drama,111.0,1984-09-21,True,False,True,False,English,False
m/poetic_justice,Poetic Justice,"Still grieving after the murder of her boyfriend, hairdresser Justice (Janet Jackson) writes poetry to deal with the pain of her loss. Unable to get to Oakland to attend a convention because of her broken-down car, Justice gets a lift with her friend, Iesha (Regina King) and Iesha's postal worker boyfriend, Chicago (Joe Torry). Along for the ride is Chicago's co-worker, Lucky (Tupac Shakur), to whom Justice grows close after some initial problems. But is she ready to open her heart again?",Drama,110.0,1993-07-23,True,False,True,False,English,False
m/polyester,Polyester,"A frustrated housewife, Francine Fishpaw (Divine), tries to maintain her sanity while taking care of her dysfunctional household. Elmer (David Samson), her husband and the owner of an adult theater, is sleeping with his secretary, and her delinquent teen son, Dexter (Ken King), and pregnant teen daughter, Lulu (Mary Garlington), aren't helping matters any. But when Francine meets dashing Todd Tomorrow (Tab Hunter), the owner of a theater specializing in art films, her life appears rosier.",Comedy,86.0,1981-01-01,False,True,True,False,English,False
m/prince_of_darkness,Prince of Darkness,"Poking around in a church cellar, a priest (Donald Pleasence) finds an otherworldly vial filled with slime. Frightened, he brings his discovery to a circle of top scholars and scientists, who eventually learn that the strange liquid is the essence of Satan. The slime then begins to seep out, turning some of the academics into zombified killers. As the possessed battle the survivors, student Kelly (Susan Blanchard) is infected by a large quantity of the liquid and becomes Satan personified.",Horror,110.0,1987-10-23,False,False,True,False,English,False
m/pumpkinhead,Pumpkinhead,"After his son dies in a hit-and-run accident, Ed Harley (Lance Henriksen) seeks revenge against the teenagers responsible. With the help of a local witch (Florence Schauffler), Ed summons the vengeful demon Pumpkinhead to hunt and kill the group of friends. But when Ed discovers a bond between himself and the creature, he begins to have second thoughts about employing the vicious monster, and he fights to end Pumpkinhead's murderous rampage before it is too late.",Horror,86.0,1988-10-14,False,False,True,False,English,False
m/rain_man,Rain Man,"When car dealer Charlie Babbitt (Tom Cruise) learns that his estranged father has died, he returns home to Cincinnati, where he discovers that he has an autistic older brother named Raymond (Dustin Hoffman) and that his father's $3 million fortune is being left to the mental institution in which Raymond lives. Motivated by his father's money, Charlie checks Raymond out of the facility in order to return with him to Los Angeles. The brothers' cross-country trip ends up changing both their lives.",Drama,133.0,1988-12-16,True,False,True,True,English,False
m/red_hook_summer,Red Hook Summer,A well-to-do Atlanta teen (Jules Brown) documents a summer spent in the Brooklyn housing projects with his devout grandfather (Clarke Peters).,Drama,121.0,2012-08-10,True,False,False,True,English,False
m/river_runs_through_it,A River Runs Through It,"The Maclean brothers, Paul (Brad Pitt) and Norman (Craig Sheffer), live a relatively idyllic life in rural Montana, spending much of their time fly fishing. The sons of a minister (Tom Skerritt), the boys eventually part company when Norman moves east to attend college, leaving his rebellious brother to find trouble back home. When Norman finally returns, the siblings resume their fishing outings, and assess both where they've been and where they're going.",Drama,123.0,1992-10-09,True,False,True,True,English,False
m/road_to_perdition,Road to Perdition,"Mike Sullivan (Tom Hanks) is an enforcer for powerful Depression-era Midwestern mobster John Rooney (Paul Newman). Rooney's son, Connor (Daniel Craig), is jealous of the close bond they share, and when Mike's eldest son, Michael (Tyler Hoechlin), witnesses a hit, Connor uses the incident as an excuse to murder Sullivan's wife (Jennifer Jason Leigh) and youngest son. Forced to flee, Sullivan and Michael set out on a journey of revenge and self-discovery.",Drama,116.0,2002-07-12,True,False,False,False,English,False
m/rumble_fish,Rumble Fish,"Disaffected and restless, Rusty James (Matt Dillon) is spoiling for a fight. Abandoned by his mother and living with his alcoholic father (Dennis Hopper), he hangs out with his girlfriend, Patty (Diane Lane), and his similarly aimless friends Midget (Larry Fishburne), Smokey (Nicolas Cage) and B.J. Jackson (Christopher Penn). When his brother, the Motorcycle Boy (Mickey Rourke), returns to town, Rusty hopes to gain guidance and wisdom from someone most people think is crazy.",Drama,94.0,1983-10-07,True,False,True,False,English,False
m/silver_linings_playbook,Silver Linings Playbook,"After losing his job and wife, and spending time in a mental institution, Pat Solatano (Bradley Cooper) winds up living with his parents (Robert De Niro, Jacki Weaver). He wants to rebuild his life and reunite with his wife, but his parents would be happy if he just shared their obsession with the Philadelphia Eagles. Things get complicated when Pat meets Tiffany (Jennifer Lawrence), who offers to help him reconnect with his wife, if he will do something very important for her in exchange.",Comedy,122.0,2012-11-21,False,True,False,True,English,False
m/sob,S.O.B.,"Felix Farmer (Richard Mulligan) is a Hollywood director well on his way to killing his career. He just spent $30 million making a musical that no one wants to see. But, after several botched suicide attempts, the filmmaker has a sudden epiphany: Why not turn his moribund family-friendly entertainment into a porn movie? Of course, to make his scheme work, Felix will have to convince his actress wife, Sally Miles (Julie Andrews), to bare it all for the camera.",Comedy,124.0,1981-07-01,False,True,True,True,English,False
m/spy_2015,Spy,"Despite having solid field training, CIA analyst Susan Cooper (Melissa McCarthy) has spent her entire career as a desk jockey, working hand-in-hand with dashing agent Bradley Fine (Jude Law). Using high-tech equipment and a hidden earpiece, Susan is the guardian angel who helps Bradley avoid danger. However, when Bradley is assassinated by Bulgarian arms dealer Rayna Boyanov (Rose Byrne), Susan wrangles her way into her first undercover assignment to help capture Boyanov and avenge Bradley.",Comedy,115.0,2015-06-05,False,True,False,False,English,False
m/stake_land,Stake Land,"After a plague turns America into a realm of vampires, a hunter (Nick Damici) of the depraved creatures travels cross-country with an orphan (Connor Paolo) he rescued, searching for a safe haven.",Horror,96.0,2011-04-22,False,False,False,False,English,False
m/sweet_hereafter,The Sweet Hereafter,"A small mountain community in Canada is devastated when a school bus accident leaves more than a dozen of its children dead. A big-city lawyer (Ian Holm) arrives to help the survivors' and victims' families prepare a class-action suit, but his efforts only seem to push the townspeople further apart. At the same time, one teenage survivor of the accident (Sarah Polley) has to reckon with the loss of innocence brought about by a different kind of damage.",Drama,110.0,1997-11-20,True,False,True,False,English,False
m/ted_2,Ted 2,"Life has changed drastically for thunder buddies John (Mark Wahlberg), now a bachelor, and best pal Ted (Seth MacFarlane), now married to the woman (Jessica Barth) of his dreams. Problems arise when the couple decide to adopt a child, but the law declares Ted to be property and not a person. Angry and dejected, the lovably foulmouthed teddy bear must now seek legal help from a young lawyer (Amanda Seyfried) and a legendary, civil-rights attorney (Morgan Freeman) to get the justice he deserves.",Comedy,115.0,2015-06-26,False,True,False,False,English,False
m/the-company-men,The Company Men,"A young executive at a shipping and manufacturing conglomerate, Bobby Walker (Ben Affleck) is on the fast track to the top. He is a rising star at work and has all the material trappings of success. Then his company goes through a few rounds of layoffs, so Bobby and colleagues Phil (Chris Cooper) and Gene (Tommy Lee Jones) find themselves on the unemployment line. As the year unfolds, all three must redefine their lives as they struggle to survive in a hostile post-career landscape.",Drama,115.0,2011-01-21,True,False,False,False,English,False
m/the_blackcoats_daughter,The Blackcoat's Daughter (February),"During the dead of winter, a troubled young woman (Emma Roberts) embarks on a mysterious journey to an isolated prep school where two stranded students (Kiernan Shipka, Lucy Boynton) face a sinister threat from an unseen evil force.",Horror,93.0,2017-03-31,False,False,False,False,,False
m/the_master_2011,The Master,"Freddie Quell (Joaquin Phoenix) is a troubled, boozy drifter struggling with the trauma of World War II and whatever inner demons ruled his life before that. On a fateful night in 1950, Freddie boards a passing boat and meets Lancaster Dodd (Philip Seymour Hoffman), the charismatic leader of a religious movement called the Cause. Freddie tries hard to adhere to Dodd's weird teachings and forms a close bond with his mentor, even as other members of Dodd's inner circle see him as a threat.",Drama,136.0,2012-09-14,True,False,False,True,English,False
m/the_other_woman_2011,The Other Woman,A woman (Natalie Portman) tries to mend her relationship with her stepson and deal with her husband's jealous ex-wife (Lisa Kudrow) while trying to come to terms with the loss of her newborn.,Drama,119.0,2011-02-04,True,False,False,False,French (France),False
m/the_sitter_2011,The Sitter,"Noah Griffith (Jonah Hill) is stuck in a rut; he's been kicked out of college, and his self-absorbed girlfriend, Marisa (Ari Graynor), treats him poorly. All Noah wants to do these days is watch TV, but as a favor to his mother, he agrees to baby-sit a neighbor's three freakish children: Slater (Max Records), Blithe (Landry Bender) and Rodrigo (Kevin Hernandez). Coerced to score some drugs for Marisa in exchange for sex, Noah must take the terrible trio along on a wild odyssey through New York.",Comedy,81.0,2011-12-09,False,True,False,False,English,False
m/the_water_diviner,The Water Diviner,"Four years after the Battle of Gallipoli, Australian farmer Joshua Connor (Russell Crowe) travels to Turkey to find his three sons, who never returned home from the war. When he arrives in Istanbul, he meets others who have also suffered losses: hotelier Ayshe (Olga Kurylenko) and her son, Orhan, who befriends Connor; and Major Hasan (Yilmaz Erdogan), a Turkish officer who fought against Connor's sons and now may be their father's only hope in finding closure.",Drama,112.0,2015-04-24,True,False,False,False,English,False
