rotten_tomatoes_link,movie_title,movie_info,actors,lead_actor,lead_actor_first
m/1000560-alamo,The Alamo,"In 1836, the Mexican army, led by General Santa Anna, is invading Texas. Hoping to create a diversion for Santa Anna's forces, General Sam Houston (Richard Boone) orders Colonel William B. Travis (Laurence Harvey), joined by Colonels Jim Bowie (Richard Widmark) and Davy Crockett (John Wayne), to lead a small, heroic band of American and Texican fighters in a resistance battle at the Alamo mission. The carnage at the Alamo further spurs the Republic of Texas toward freedom.","John Wayne, Richard Widmark, Laurence Harvey, Richard Boone, Frankie Avalon, Patrick Wayne, Linda Cristal, Joan O'Brien, Chill Wills, Joseph Calleia, Ken Curtis, Carlos Arruza, Jester Hairston, Veda Ann Borg, John Dierkes, Denver Pyle, Aissa Wayne, Hank Worden, William Henry, Bill Daniel, Wesley Lau, Chuck Roberson, Guinn 'Big Boy' Williams, Olive Carey, Ruben Padilla, Jack Pennick, Carol Baxter, Fred Graham, Cy Malis, Boyd 'Red' Morgan, Gil Perkins, Chuck Hayward, Buff Brady, Bill Shannon, Ted White, Jim Burk, Mickey Finn, Dean Smith, George Ross, Big John Hamilton, Robert H. Harris, Jim Wright, Leroy Johnson, Jim Walker, Jack Miller, Danny Borzage, Tap Canutt, Jack Williams, Alfred Taylor, Ed Carter, Miguel Garza, Jerry Phillips, Charles Sanders, Charles Akins, Joe Jackson, Ronald Lee, Joe Graham, Rudy Robbins, Jim Brewer",John Wayne,False
m/10005755-g,G,"Summer G (Richard T. Jones), an aspiring rapper, finds himself enamored with a young woman named Sky Hightower (Chenoa Maxwell), an ambitious social climber who is wary of Summer's low-class status. Although she rejects him for Chip (Blair Underwood), who works in the lucrative world of finance, that only pushes Summer to work even harder to make himself a wealthy and important man -- someone Sky will love. However, he encounters problems from both the old money guard and from Sky herself.","Richard T. Jones, Blair Underwood, Chenoa Maxwell, Andre Royo, Andrew Lauren, Laz Alonso, Lalanya Masters, Nicoye Banks, Laz Alonzo, Jillian Lindsey, Sonja Sohn, Marcia Wright, Damian Young, Alex Carr, Renet Kyles, Johnny Russo, Lisa Ferreira, Miko Tam, Brian d'Arcy James, Beth Dover, Linda Marie Larson, Michael Quinlan, Sarah Schoenberg, Tara Ashley, Christopher Michael Gerrard",Richard T. Jones,True
m/1000580-alexander_the_great,Alexander the Great,"The son of Philip of Macedonia (Fredric March) and Olympias (Danielle Darrieux), Alexander the Great (Richard Burton) is one of the most legendary leaders throughout history. As the Macedonian king, Alexander successfully unites all the ancient Greek tribes and leads them to defeat the imposing Persian Empire. With the fall of Babylon, Alexander continues to conquer most of the known world. Eventually, he achieves the status of unparalleled ruler atop his newly formed Greek empire.","Richard Burton, Fredric March, Claire Bloom, Danielle Darrieux, Harry Andrews, Stanley Baker, Niall MacGinnis, Peter Cushing, Michael Hordern, Barry Jones, Marisa de Leza, Gustavo Rojo, Rubén Rojo, William Squire, Helmut Dantine, Frederick Ledebur, Peter Wyngarde, Virgilio Texeira, Teresa Del Rio, Julio Peña, José Nieto, Carlos Martinez Baena, Larry Taylor, José Marco, Ricardo Valle, Carmen Carulla, Jesús Luque, Ramsay Ames, Mario De Barros, Ellen Rossen, Juan Carlos Acevedo, Virgilio Teixeira, Riccardo Valle",Richard Burton,False
m/10005819-10005819-neverwas,Neverwas,"Dr. Zach Riley (Aaron Eckhart) begins practicing at the Millwood Psychiatric Clinic -- a mental health retreat where his deceased father, renowned children's book author T.L. Pierson (Nick Nolte), was once interned. Riley finds an unlikely friend in Gabriel Finch (Ian McKellen), a disarming patient who forces him to examine himself. When Finch suggests that the fantastic land in Pierson's classic book ""Neverwas"" is real, Riley begins a spellbinding investigation into his father's work.","Aaron Eckhart, Ian McKellen, Brittany Murphy, William Hurt, Nick Nolte, Alan Cumming, Jessica Lange, Bill Bellamy, Vera Farmiga, Michael Moriarty, Cynthia Stevenson, Ryan Drescher, Suzanne Bastien, Lorena Gale, Tim Henry, Camille Sullivan, Mark Tisdale",Aaron Eckhart,True
m/1000617-aliens,Aliens,"After floating in space for 57 years, Lt. Ripley's (Sigourney Weaver) shuttle is found by a deep space salvage team. Upon arriving at LV-426, the marines find only one survivor, a nine year old girl named Newt (Carrie Henn). But even these battle-hardened marines with all the latest weaponry are no match for the hundreds of aliens that have invaded the colony.","Sigourney Weaver, Carrie Henn, Michael Biehn, Paul Reiser, Bill Paxton, William Hope, Jenette Goldstein, Al Matthews, Mark Rolston, Ricco Ross, Colette Hiller, Daniel Kash, Cynthia Scott, Tip Tipping, Trevor Steedman, Paul Maxwell, Valerie Colgan, Alan Polonsky, Lance Henriksen, Alibe Parsons, Blain Fairman, Barbara Coles, Carl Toop, Louise Head, John Lees, Kiran Shah",Sigourney Weaver,True
m/10006188-rise,Rise: Blood Hunter,"Sadie (Lucy Liu), a reporter, investigates an underground cult in Los Angeles which seems to be responsible for a series of grisly murders. While trying to discover the cult's secrets, she becomes a victim herself. Sadie awakes in the morgue with an insatiable craving for blood and revenge, so she joins forces with a grieving detective (Michael Chiklis) to destroy the undead creatures once and for all.","Lucy Liu, Michael Chiklis, Carla Gugino, James D'Arcy, Robert Forster, Cameron Richardson, Allan Rich, Robert Foster, Samantha Shelton, Kevin Wheatley, Margo Harshman, Cameron Goodman, Holt McCallany, Paul Cassell, Mako, Sam Cooper, Natsuko Ohama, Christina Stacy, Julio Oscar Mechoso, Simon Rex, Isabella Gutierrez, Liana Perez, Anastasia Baranova, Zach Gilford, Ashley Hinson, Fran Kranz, Samaire Armstrong, Marilyn Manson, Elden Henson, Nick Lachey, Christopher Allen Nelson, India King",Lucy Liu,True
m/10006270,When Do We Eat?,"Members of the Stuckman family gather for Seder with patriarch Ira (Michael Lerner), an old-fashioned man who pushes his sons as hard as his own father (Jack Klugman) pushed him. Chaos erupts when one of Ira's sons slips him a hit of Ecstasy, turning him into a modern Moses.","Michael Lerner, Lesley Ann Warren, Jack Klugman, Meredith Scott Lynn, Shiri Appleby, Mili Avital, Ben Feldman, Adam Lamberg, Max Greenfield, Cynda Williams, Mark Ivanir, Dan Bucatinsky, Oscar Nunez, Vickilyn Reynolds, Victoria Justice, Kane Ritchotte, Arman Manyan, Jeremy Glazer, Cantor Avshalom Katz, Cantor Chaim 'Erik' Goldberger, Yehuda Solomon, Lucca Fletcher, Tania Godfrey, Candace Zuchowski, Brandon Waters, Caleb Armstrong, Schlomo 'Schwartzie' Schwartz, Beth Ann Warren, Jeff D'Agostino, Joshua Weinstein",Michael Lerner,True
m/10006324,The Mostly Unfabulous Social Life of Ethan Green,"A young man named Ethan (Daniel Letterle) is head-over-heels in love with an ex-baseball player (Diego Serrano) who has just revealed in a new book that he is gay. Meanwhile, a former lover (David Monahan) plots to sell Ethan's house, prompting him to enlist the aid of a hot guy (Dean Shelton) and a real-estate agent (Rebecca Lowman) to prevent the sale from going through.","Daniel Letterle, Meredith Baxter, David Monahan, Diego Serrano, Dean Shelton, Shanola Hampton, Joel Brooks, Richard Riehle, Scott Atkinson, Rebecca Lowman, Ramon De Ocampo, Sean Faris, Mariah Bess, Boti Ann Bliss, Chase Ellison, Gage Vernon, Heather Ogden, Lenora May, Tod Abrams, Micah McCain, Paul J. Coyne, Audrey Capotosta, Russell Martin, Phil de Carlo, Wendy H. Meier, Skyler Hynes, Elsa Raven",Daniel Letterle,True
m/10006343-dirty,Dirty,"Armando Sancho (Clifton Collins Jr.) is a former Los Angeles gang member who has transitioned into law enforcement. Sancho, however, who is surrounded by corruption, finds that life as a police officer is just as morally bankrupt as life as a gangster. After being implicated in the shooting of an innocent man himself, Sancho is then pressured to testify against his loose-cannon friend and partner, Salim Adel (Cuba Gooding Jr.), who has a history of abusing citizens.","Cuba Gooding Jr., Wyclef Jean, Keith David, Clifton Collins Jr., Aimee Garcia, Wood Harris, Brittany Daniel, Cole Hauser, Robert LaSardo, Lobo Sebastian, Taboo, Khleo Thomas, Nicholas Gonzalez, Judy Reyes, Nate Parker, Chris Fisher, Frank Alvarez, Robert Flores, César García, Kevin Grevioux, Pat Healy, Tory Kittles, Jen Martinez, Gates McFadden, Joseph McKelheer, Edward Meza, Maurice Rae, Chris Mulkey, Jim Ortlieb, Marina Gonzalez Palmier, Tracy Phillips, Bret Roberts",Cuba Gooding Jr.,False
m/1000640-all_of_me,All of Me,"While on her deathbed, the rich Edwina Cutwater (Lily Tomlin) has her lawyer Roger Cobb (Steve Martin) add the odd stipulation to her will that her soul will be inherited by the young Terry Hoskins (Victoria Tennant). The plan backfires when Edwina dies. She ends up inhabiting Roger's body and controlling only its right side. Edwina and Roger are forced to work together to find a way to get her soul out his body and into the body she originally intended.","Steve Martin, Lily Tomlin, Victoria Tennant, Madolyn Smith Osborne, Richard Libertini, Dana Elcar, Jason Bernard, Selma Diamond, Eric Christmas, Gailard Sartain, Neva Patterson, Michael Ensign, Peggy Feury, Nan Martin, Basil Hoffman, Hedley Mattingly, Harvey Vernon, Stu Black, Marilyn Tokuda, David Byrd, Nick Shields, Bill Saito, Neil Elliott, Jillian Scott, Neil Elliot, Judy Nagy, Ronn Wright, Jim Welch",Steve Martin,False
m/10006434-dreamland,Dreamland,"Teenage Aubrey (Agnes Bruckner) is always there for everyone, including her father, Henry (John Corbett), who has not left the house since her mother died, and her friend Calista (Kelli Garner), who has multiple sclerosis. Her longing to experience life for herself begins to awaken, however, with the arrival of new neighbors, including a young man named Mookie (Justin Long). After setting Mookie up with Calista, Aubrey begins to feel jealous, but struggles to put her own needs above others'.","Agnes Bruckner, Kelli Garner, Justin Long, Gina Gershon, John Corbett, Brian Klugman, Chris Mulkey, Luce Rains",Agnes Bruckner,True
m/10006780-lost_horizon,Lost Horizon,An airplane hijacking leaves a diplomat (Peter Finch) and other Westerners in the Tibetan utopia Shangri-La.,"Liv Ullmann, Peter Finch, George Kennedy, Michael York, Sally Kellerman, Olivia Hussey, Charles Boyer, John Gielgud, Bobby Van, James Shigeta, Larry Duran, Kent Smith, John Van Dreelen, Miiko Taka, Tybee Brascia, Neil Jon, Hedley Mattingly, Virginia Ann Lee, Paul De Lucca, Burt Bacharach",Liv Ullmann,False
m/10006848-the_motel,The Motel,"While shouldering the burden of cleaning his family's sleazy motor inn, 13-year-old Ernest (Jeffrey Chyau) dreams of being a writer. A ne'er-do-well named Sam (Sung Kang) arrives for a night but stays longer, and the fatherless boy sees in him a male figure to emulate.","Jeffrey Chyau, Sung Kang, Jade Wu, Samantha Futerman, Alexis Chang, Stephen Chen, Conor J. White, Clint Jordan, Jackson Budinger, Eleanor Hutchins, Ron Domingo, Jackie Nova, Jake Holbrook, Ian Boyd, Glen Brackenridge, Cheryl Campbell, Douglas Bell, Alia Raza, Melanie Sands, Olivia Kim, Albert Bramante, Fausat Lawal, Grace Lamb, David Keller, Zeke Hawkins, Heather White, Matthew Mooney, Matthew Schimkowitz",Jeffrey Chyau,True
m/10006940-silk,Gui si (Silk),"Aiming to harness the energy found in some supernatural spirits, scientist Hashimoto (Yosuke Eguchi) and colleagues catch the ghost of a young boy. Hashimoto plans to use the energy to fuel an anti-gravity device he's invented. But, in order to tap into the ghost's essence, he must understand the silent words coming from its mouth. The scientists call in police officer Tung (Chen Chang), who can read lips, but, as they learn that the boy was murdered, the experiment goes in a scary direction.","Chen Chang, Yosuke Eguchi, Kar Yan Lam, Barbie Hsu, Chen Po-Lin, Chun-Ning Chang, Fang Wen, Chen Kuan-po",Chen Chang,False
m/10007139-park,Park,"A dozen people and their myriad problems descend upon a quiet Los Angeles park at lunch hour. April (Dagney Kerr) comes to commit suicide but can't quite get it right. Peggy (Ricki Lake) and her best friend, Claire (Cheri Oteri), seek to humiliate Dennis (William Baldwin), Peggy's philandering husband, while co-workers Nathan (Trent Ford) and Babar (Maulik Pancholy) are determined to convince their female colleagues that they do indeed enjoy eating lunch in the nude.","William Baldwin, Ricki Lake, Dave Fenner, Cheri Oteri, Melanie Lynskey, Izabella Miko, Anne Dudek, Trent Ford, Maulik Pancholy, David Fenner, Dagney Kerr, Anthony 'Treach' Criss, Francesco Quinn, Alfred Woodley, Joel J. Edwards, Imelda Corcoran",William Baldwin,False
m/10007333-bon_cop_bad_cop,"Bon Cop, Bad Cop","Two policemen (Colm Feore, Patrick Huard) from different Canadian provinces must work together to solve a crime.","Patrick Huard, Colm Feore, Lucie Laurier, Sarah-Jeanne Labrosse, Sarain Boylan, Michel Beaudry, Patrice Bélanger, Patrice Bélanger, Sylvain Marcel, Hugolin Chevrette, Hugolin Chevrette-Landesque, Pierre Lebeau, Nanette Workman, Ron Fournier, Louis-José Houde, Ron Lea, Rick Mercer, Rick Howland, André Robitaille, Gilles Renaud, Jayne Heitmeyer, Robert Jadah, Erik Knudsen, Robert Montcalm, Sharlene Royer, Martin Thibaudeau, Tim Wheaton",Patrick Huard,False
m/10007415-amazing_grace,Amazing Grace,"In 18th-century England, House of Commons member William Wilberforce (Ioan Gruffudd) and his close friend and a future prime minister, William Pitt (Benedict Cumberbatch), begin a lengthy battle to abolish Great Britain's slave trade. Though Wilberforce's legislation is soundly defeated in 1791, his growing affection for Barbara Spooner (Romola Garai) inspires him to take up the fight once more.","Ioan Gruffudd, Romola Garai, Michael Gambon, Benedict Cumberbatch, Albert Finney, Youssou N'Dour, Rufus Sewell, Ciarán Hinds, Toby Jones, Nicholas Farrell, Sylvestra Le Touzel, Jeremy Swift, Stephen Campbell Moore, Bill Paterson, Ramola Garai, Tom Fisher, Nicholas Woodeson, Richard Ridings, Adam Woodroffe, Neville Phillips, Eki Maria, Daniel Naprous, Joseph Traynor, Harry Audley, Simon Delaney, Chris Barnes, Tom Knight, Peter White, Nicholas Day, Georgie Glen, David Hunt, David Toole, Andrew Neil, Angie Wallis, Estelle Morgan, Philip Dunbar, Alex Blake, Andrew Whipp, Nicolas Dodd",Ioan Gruffudd,True
m/10007614-gone,Gone,A British tourist (Shaun Evans) grows suspicious of a mysterious American's (Scott Mechlowicz) motive for joining him and his fiancee on a trip through the Australian Outback.,"Scott Mechlowicz, Tony Barry, Amelia Warner, Shaun Evans, Victoria Thaine, Zoe Tuckwell-Smith, Yvonne Strahovski, Yvonne Strzechowski, Zander Hey",Scott Mechlowicz,False
m/10007714-situation,The Situation,"Anna (Connie Nielsen) is an American journalist who's falling in love with Iraqi photographer Zaid (Mido Hamada) against the backdrop of the war in Iraq. She's also ending a secret affair with Dan (Damian Lewis), an intelligence officer in Baghdad. The dangers of wartime Iraq heighten everyone's emotions, and the love triangle creates further stress when one of Anna's friends is killed, and Anna is kidnapped. Zaid and Dan must get together to rescue Anna before it's too late.","Connie Nielsen, Damian Lewis, Mido Hamada, Driss Roukhe, John Stattery, Nasser Memarzia, Said Amadis, Omar Berdouni, Chérine Amar, Shaun Evans, Tom McCarthy, Mahmoudi M'Barek, Mahmoud El Lozy, John Slattery, Peter Eyre, Fatiha Watili, Hamid Basket",Connie Nielsen,True
m/10007856-four_sheets_to_the_wind,Four Sheets to the Wind,His father's suicide prompts a young American Indian (Cody Lightning) to leave the reservation and explore the world outside.,"Cody Lightning, Jeri Arredondo, Tamara Podemski, Laura Bailey, Richard Ray Whitman, Jon Proudstar, Darryl Cox, Mark Loftis, Bill Poague, Jim Kirkland, Mike Randleman, Christian Kane, Mary Neff",Cody Lightning,True
m/10007886-the_tigers_tail,The Tiger's Tail,"Liam O'Leary (Brendan Gleeson) is a prosperous real estate tycoon who lives in Dublin with his wife, Jane (Kim Cattrall). Hoping to bring his profits and his career to new heights, Liam takes out a large bank loan with the prospect of building a new stadium. But, when his request for development is turned down by the city, his life stumbles into a downward spiral. More disturbing than his crippled assets is his mysterious double whom he keeps seeing around town.","Brendan Gleeson, Kim Cattrall, Ciarán Hinds, Ciarin Hinds, Sinead Cusack, John Kavanagh, Ruth McCabe, Sean McGinley, Cathy Belton, Brian Gleeson, Angeline Ball, Stanley Townsend, Moira Deady, Michael McElhatton, Michael Fitzgerald, Denis Conway, Charlene McKenna, Tom Vaughan-Lawlor, Ruth Lawlor, Eanna MacLiam, Conor Mullen, Regan O'Brien, Derry Power, Ned Dennehy, Gary Murphy, David Herlihy, Martin Murphy, Mark Lambert, Philip O'Sullivan, Paolo Tullio, Aonghus Og McAnally, Nigel Linden, Geoff Minogue, Frank Gleeson, Mark Armstrong",Brendan Gleeson,True
m/10007893-its_a_boy_girl_thing,It's a Boy Girl Thing,"Pretty teen girl Nell (Samaire Armstrong) is extremely bookish and can't wait to move on to higher education, while her dim-witted neighbor and classmate, Woody (Kevin Zegers), wants nothing more than to play football. When a class trip to a museum places Nell and Woody under an ancient Incan spell, the two awake the next day to find that they've switched bodies. As they cope with their bizarre situation, Nell and Woody realize that they must discover a way to reverse the spell.","Samaire Armstrong, Kevin Zegers, Emily Hampshire, John Bregar, Brandon Carrera, Brooke D'Orsay, Mpho Koaho, Sharon Osbourne, Sherry Miller, Robert Joy, Maury Chaykin, Dan Warry-Smith, Balazs Koos, Kathryn Haggis, Genelle Williams, Jack Duffy, Alex Nussbaum, Roman Podhora, David Ndaba, Robert James Ramsey, Michael Lazarovitch, Adrian Roberto, Justin Tensen, Shane Daly, Jennifer Markowitz, Snow Ellen-Ray, Richard Fitzpatrick, Kevin Zegars, Christian Henson",Samaire Armstrong,True
m/10007898-slipstream,Slipstream,"An aging man, Felix Bonhoeffer (Anthony Hopkins), finds that the characters in a murder mystery, which he is writing as a screenplay, are invading his life. Although it astounds him that the real world and the play are merging, he fails to realize that he is losing his mind.","Anthony Hopkins, Gavin Grazer, Stella Arroyave, Christian Slater, John Turturro, Camryn Manheim, Michael Clarke Duncan, Kevin McCarthy, Jeffrey Tambor, S. Epatha Merkerson, Gene Borkan, Fionnula Flanagan, Lisa Pepper, Christopher Lawford, Gena Rowlands, William Lucking, Lana Antonova, Aaron Tucker, Michael Lerner",Anthony Hopkins,True
m/10007902-delirious,Delirious,"Desperate to make it big as a photographer, Les (Steve Buscemi) befriends Toby (Michael Pitt), a young actor with no direction, who romances a pop star.","Steve Buscemi, Michael Pitt, Alison Lohman, Gina Gershon, Callie Thorne, Kevin Corrigan, Elvis Costello, Richard Short, Tom Aldredge, Peter Appel, Doris Belack, Lynn Cohen, Marcus Collins, Joe D'Onofrio, Minnie Driver",Steve Buscemi,True
m/10007916_interview,Interview,"Pierre Peders (Steve Buscemi), a political reporter, receives an unwelcome assignment from his editor: Write a puff piece on Katya (Sienna Miller), a sexy starlet whose love life provides plentiful tabloid fodder. The pair manage to alienate each other within minutes, then Pierre is injured in an accident, and Katya brings him back to her apartment. An unusual encounter unfolds for the jaded journalist and the woman who may not be as stupid as she seems.","Sienna Miller, Steve Buscemi, Michael Buscemi, Tara Elders, David Schecter, Molly Griffith",Sienna Miller,False
m/1000792-american_anthem,American Anthem,"Two gymnasts (Mitch Gaylord, Janet Jones) fall in love and train hard in Arizona for stiff competition in a world-class meet.","Mitch Gaylord, Janet Jones, John Aprea, Michelle Phillips, Tiny Wells, Michael Pataki, Patrice Donnelly, R.J. Williams, Katherine Gosney, Stacy Maloney, Peter Tramm, Rosemary Forsyth, Googy Gress, Maria Anz, Jenny Ester, Andrew M. White, Popeye the Dog, Dick McGarvin, Mark Oates, Jan Claire, Megan Marsden, Li Yuejiu, Bruce Burns, Lisa Marie Campos, Bob Gauthier, Lisa Green, Chris Riser, Lyn Schmitt, Kent Weaver, Stephen Elliott, Tim Darling, Jody Raymond, Matt Arnot, Scott Barclay, Jeff Richards, Mike Bowers, Tony Russo, Phillippe Chartrand, Mike Sims, Glen Cooper, John Eccelston, Mark Ewers, Brett Finch, Doug Foerch, Steve Friedman, Rick Hall, Paul Hartman, Celeste Kelty, Tom Kennedy, Jeff Knepper, John Levy, Wes Lewis",Mitch Gaylord,True
m/10007947-ten,The Ten,"A series of interweaving vignettes spoof the Ten Commandments. In one story, a skydiver (Adam Brody) forgets to pack his parachute. When he lands, he doesn't die, but gets stuck in the ground, causing a media circus and jeopardizing his relationship with his girlfriend, Kelly (Winona Ryder). Later, Kelly begins a tumultuous relationship with a ventriloquist's dummy. In another story, a doctor (Ken Marino) obsessed with pranks accidentally kills a patient and winds up in jail.","Paul Rudd, Gretchen Mol, Adam Brody, Famke Janssen, Winona Ryder, Oliver Platt, Jessica Alba, Liev Schreiber, Justin Theroux, Ron Silver, Thomas Lennon, Ken Marino, A.D. Miles, Rob Corddry, David Wain, Joe Lo Truglio, Janeane Garofalo, Todd Holoubek, Mather Zickel, Michael Ziegfield, Ali Marsh, Jason Sudeikis, Edmond Genest, Jon Hamm, Cedric Sanders, H. Jon Benjamin, Arlen Escarpeta, Bobby Cannavale, Rashida Jones, Robert Ben Garant, Andrew Dawson, John Patrick Barry, Zandy Hartig, Michael Ian Black, Michael Showalter, John Tormey, Charlie McDermott, Joe Passaro, Jerry Grayson, Zak Orth, Reed Birney, Jason Antoon",Paul Rudd,False
m/10007985-happening,The Happening,"An apocalyptic threat to humanity arrives out of the clear blue sky with a series of violent, inexplicable deaths spreading across the country. The cause of the terrifying phenomenon remains unknown, prompting science teacher Elliot Moore (Mark Wahlberg), his wife Alma (Zooey Deschanel) and his colleague Julian (John Alberto Leguizamo) to try to elude the invisible killer in Pennsylvania's farmland. Soon it becomes clear that no one is safe.","Mark Wahlberg, Zooey Deschanel, John Leguizamo, Ashlyn Sanchez, Betty Buckley, Spencer Breslin, Robert Bailey Jr., Frank Collison, Jeremy Strong, Alan Ruck, Victoria Clark, M. Night Shyamalan, Robert Lenzi, Alison Folland, Kristen Connolly, Cornell Womack, Curtis L. McClarin, Derege Harding, Kerry O'Malley, Shayna Levine, Stéphane Debac, Cyrille Thouvenin, Babita Hariani, Alicia Taylor, Edward James Hyland, Armand Schultz, Stephen Singer, Sophia Burke, Alex Van Kooy, Charlie Saxton, Kathy Hart, Lisa Gunn, Rick Foster, Marc H. Glick, Don Castro, Bill Chemerka, Jann Ellis, Jan Ellis, Whitney Sugarman, Mary Ellen Driscoll, Greg Wood, Peter Appel, Eoin O'Shea, Michael Quinlan, Lyman Chen, Brian O'Halloran, Megan Mazaika, Richard Chew, Keith E. Bullard, Joel de la Fuente, Ashley Brimfield, Mara Hobel, James ""Jimbo"" Breen, James Breen, Carmen Bitonti, Brian Anthony Wilson, Greg Smith Aldridge, Ukee Washington, John Ottavino, Sid Doherty, Wes Heywood, Nancy Sokerka, Julia Yorks, Bill Shusta, Kirk Penberthy, Alex Craft, Allie Habberstad, Tony Devon",Mark Wahlberg,True
m/10008005-moliere,Molière,"In 17th-century France, playwright and actor Molière (Romain Duris) has his debts paid off by Monsieur Jourdain (Fabrice Luchini), freeing him from debtors prison. In return, Jourdain asks for acting lessons so he can win the heart of the beautiful widow Célimène (Ludivine Sagnier) by performing a short play for her. Presented to Jourdain's family as the priest Tartuffe, Molière begins to fall in love with Monsieur Jourdain's disregarded wife, Elmire (Laura Morante).","Romain Duris, Édouard Baer, Fabrice Luchini, Laura Morante, Ludivine Sagnier, Fanny Valette, Gilian Petrovski, Sophie-Charlotte Husson, Melanie Dos Santos, Gonzague Montuel, Arié Elmaleh, Eric Berger, Gilian Petrovsky, Anne Suarez, Annelise Hesme, Luc Tremblais, Nicolas Vaude, Philippe Du Janerand, Isabelle Caubère, Pierre Laplace, Wilfred Benaiche, François Civil, Jean-Michel Lahmi, Marie Gili-Pierre, Francis Van Litsenborgh, Yves Robin, François Toumarkine, Isabelle Vitari, Antoine Blanquefort, Caroline Gillain, Daphné de Quatrebarbes, Jean-Claude Jay",Romain Duris,True
m/10008126-straightheads,Straightheads (Closure),"There is instant chemistry between Alice (Gillian Anderson), a businesswoman, and Adam (Danny Dyer), a younger working-class man who installs a security system in her London apartment. She takes him to a party in the country, and they end up making love. But the night turns horrific when they encounter three thugs who maim Adam and rape Alice. The incident turns them into fearful recluses until Alice spots the leader of their attackers (Anthony Calf) -- and the two victims plot a brutal revenge.","Gillian Anderson, Danny Dyer, Anthony Calf, Ralph Brown, Steven Robertson, Francesca Fowler, Adam Rayner, Anthony Byrne, Gugu Mbatha-Raw, Neil Finnighan",Gillian Anderson,True
m/10008140-borderland,Borderland,"Ed (Brian Presley), Henry (Jake Muxworthy) and Phil (Rider Strong) are three American college graduates in search of wild times in Mexico. After a night of partying with two local women, Ed and Henry realize that Phil is missing. Joining forces with an ex-cop, their search for their friend leads them to a horrifying encounter with cultists who practice human sacrifice.","Brian Presley, Martha Higareda, Jake Muxworthy, Rider Strong, Damián Alcázar, Sean Astin, Marco Bacuzzi, Marco Bascuzzi, Roberto Sosa, Humberto Busto, Francesca Guillen, Beto Cuevas, Elizabeth Cervantes, Jose María Yazpik, Alenka Ríos, Kathryn Tamblyn",Brian Presley,True
m/10008234-alexandra,Alexandra,"Elderly Aleksandra (Galina Vishnevskaya) visits her Russian soldier grandson, Denis (Vasily Shevtsov), at the Chechen war front, providing comfort as she tours his army base. While there, Aleksandra surprises everyone by climbing into an armored vehicle and brandishing a Kalashnikov rifle. Afterward, venturing outside, she meets a Chechen woman in town who bemoans the number of occupying troops, then has other adventures. All the while, Denis ponders the reason for her unexpected appearance.","Galina Vishnevskaya, Vasily Shetvtsov, Vasily Shevtsov, Raisa Gichaeva, Evgeni Tkachuk, Alexander Kladko, Andrei Bogdanov, Rustam Shakhgireyev, Alexei Nejmyshev, Alexander Aleshkin, Alexander Peredkov, Alexander Udaltsov, Maxim Fomin, Konstantin Gaiduk, Sergei Makarov, Valentin Kuznetsov, Vladimir Studenovsky, Sergei Lobsev, Zulai Aidomirov, Aset Murtazalieva, Violetta Solodyagina, Sultan Dokaev",Galina Vishnevskaya,True
m/10008496-pathology,Pathology,"Medical student Ted Grey (Milo Ventimiglia) graduates at the top of his class and quickly joins an elite pathology program, whose top students invite him into their circle. There he uncovers a gruesome secret: They play a game in which one tries to commit the perfect, undetectable murder, then the others compete to determine the victim's cause of death.","Milo Ventimiglia, Michael Weston, Alyssa Milano, Lauren Lee Smith, Johnny Whitworth, John De Lancie, Mei Melançon, Mei Melançon, Keir O'Donnell, Buddy Lewis, Dan Callahan, Larry Drake",Milo Ventimiglia,True
m/10008502-christmas_carol,Disney's A Christmas Carol,"Though London awaits the joyful arrival of Christmas, miserly Ebenezer Scrooge (Jim Carrey) thinks it's all humbug, berating his faithful clerk and cheerful nephew for their view. Later, Scrooge encounters the ghost of his late business partner, who warns that three spirits will visit him this night. The ghosts take Scrooge on a journey through his past, present and future in the hope of transforming his bitterness.","Colin Firth, Leslie Zemeckis, Cary Elwes, Robin Wright, Jacquie Barnbrook, Lesley Manville, Molly Quinn, Fay Masterson, Daryl Sabara, Ryan Ochoa, Sammi Hanratty, Fionnula Flanagan, Callum Blue, Raymond Ochoa, Steve Valentine, Julian Holloway, Matthew Henerson, Kerry Hoyt, Julene Renee, Sonje Fortag, Paul Blackthorne, Michael Hyland, Ryan Sage, Amber Gainey Meade, Bobbi Page, Ron Bottitta, Aaron Rapke, Alan Silvestri, Jim Carrey, Gary Oldman, Bob Hoskins",Colin Firth,False
m/10008562-road_to_victory,Road to Victory,A young football player (Mike Reilly) faces mounting pressure.,"Mike Reilly, Julia Anderson, Winston Brown, Peter Abrams, Poppi Reiner",Mike Reilly,True
m/10008587-beverly_hills_chihuahua,Beverly Hills Chihuahua,"Chloe (Drew Barrymore), a pampered Chihuahua from Beverly Hills, gets an unwelcome taste of the real world when she gets lost in a tough part of Mexico. With no Rodeo Drive boutiques in sight, she is out of her element, until scrappy street dogs Delgado and Papi lend her a paw, helping her find her way home.","Drew Barrymore, Andy Garcia, Jamie Lee Curtis, George Lopez, Cheech Marin, Manolo Cardona, Piper Perabo, Plácido Domingo, Paul Rodriguez, Luis Guzman, Loretta Devine, Edward James Olmos, Michael Urie, Eddie 'Piolín' Sotelo, Maury Sterling, Jose María Yazpik, Jesús Ochoa, Eugenio Derbez",Drew Barrymore,True
